id,play_order,Team.Name,City,Country,lon,lat
1,1,ColegioFDR_Peru,Lima,PERU,-77.042754,-12.0463731
2,1,PASantiago_Chile,Santiago,CHILE,-70.6692655,-33.4488897
3,1,UChile_Biotec,Santiago,CHILE,-70.6692655,-33.4488897
4,1,UChile_OpenBio-CeBiB,Santiago,CHILE,-70.6692655,-33.4488897
5,1,Amazonas_Brazil,Manaus,BRAZIL,-60.0217314,-3.1190275
6,1,AQA_Unesp,Araraquara,BRAZIL,-48.1786486,-21.7848272
7,1,USP-Brazil,Sao Paulo,BRAZIL,-46.6333094,-23.5505199
8,2,AshesiGhana,Accra,GHANA,-0.1869644,5.6037168
9,2,AFCM-Egypt,"Cairo, Egypt",EGYPT,31.2357116,30.0444196
10,3,British_Columbia,Vancouver,CANADA,-123.1207375,49.2827291
11,3,Cadets2Vets,Tacoma,UNITED STATES,-122.4442906,47.2528768
12,3,iTesla-SoundBio,Seattle,UNITED STATES,-122.3320708,47.6062095
13,3,Washington,Seattle,UNITED STATES,-122.3320708,47.6062095
14,3,Stanford-Brown,Moffett Field,UNITED STATES,-122.0540996,37.4112691
15,3,UCSC,Santa Cruz,UNITED STATES,-122.0307963,36.9741171
16,3,USNA_Annapolis,Washington,UNITED STATES,-120.7401385,47.7510741
17,3,ULaVerne_Collab,La Verne,UNITED STATES,-117.773235,34.100854
18,3,TP-CC_San_Diego,La Jolla,UNITED STATES,-117.2712717,32.8328112
19,3,UC_San_Diego,La Jolla,UNITED STATES,-117.2712717,32.8328112
20,3,CCA_San_Diego,San Diego,UNITED STATES,-117.1610838,32.715738
21,3,Calgary,Calgary,CANADA,-114.0708459,51.0486151
22,3,UAlberta,Edmonton,CANADA,-113.4909267,53.544389
23,3,UrbanTundra_Edmonton,Edmonton ,CANADA,-113.4909267,53.544389
24,3,Lethbridge,Lethbridge,CANADA,-112.84184,49.69349
25,3,Lethbridge_HS,Lethbridge,CANADA,-112.84184,49.69349
26,3,Arizona_State,Tempe,UNITED STATES,-111.9400054,33.4255104
27,3,Tec-Chihuahua,Chihuahua,MEXICO,-106.0691004,28.6329957
28,3,CU-Boulder,Boulder,UNITED STATES,-105.2705456,40.0149856
29,3,CSU_Fort_Collins,Fort Collins,UNITED STATES,-105.084423,40.5852602
30,3,TecMonterrey_GDA,Zapopan,MEXICO,-103.416501,20.6719563
31,3,LUBBOCK_TTU,Lubbock,UNITED STATES,-101.8551665,33.5778631
32,3,TecCEM,Atizap·n de Zaragoza,MEXICO,-99.2653128,19.5679989
33,3,Austin_UTexas,Austin,UNITED STATES,-97.7430608,30.267153
34,3,Austin_UTexas_LASA,Austin,UNITED STATES,-97.7430608,30.267153
35,3,UNebraska-Lincoln,Lincoln,UNITED STATES,-96.6851982,40.8257625
36,3,Rice,Houston,UNITED STATES,-95.3698028,29.7604267
37,3,CAPS_Kansas,Overland Park,UNITED STATES,-94.6707917,38.9822282
38,3,Waterloo,Waterloo,CANADA,-92.3425775,42.492786
39,3,Missouri_Rolla,Rolla,UNITED STATES,-91.7715303,37.948544
40,3,UIOWA,Iowa City,UNITED STATES,-91.5301683,41.6611277
41,3,WashU_StLouis,St Louis,UNITED STATES,-90.1994042,38.6270025
42,3,UIUC_Illinois,Urbana,UNITED STATES,-88.2072697,40.1105875
43,3,WLC-Milwaukee,Milwaukee,UNITED STATES,-87.9064736,43.0389025
44,3,Northwestern,Evanston,UNITED STATES,-87.6876969,42.0450722
45,3,UChicago,Chicago,UNITED STATES,-87.6297982,41.8781136
46,3,RHIT,Terre Haute,UNITED STATES,-87.4139092,39.4667034
47,3,Purdue,West Lafayette,UNITED STATES,-86.9080655,40.4258686
48,3,McMaster_II,Hamilton,CANADA,-84.5613355,39.3995008
49,3,McMasterU,Hamilton ,CANADA,-84.5613355,39.3995008
50,3,MSU-Michigan,East Lansing,UNITED STATES,-84.4838654,42.7369792
51,3,Emory,Atlanta,UNITED STATES,-84.3879824,33.7489954
52,3,Georgia_State,Atlanta,UNITED STATES,-84.3879824,33.7489954
53,3,FSU,Tallahassee,UNITED STATES,-84.2807329,30.4382559
54,3,US_AFRL_CarrollHS,Dayton,UNITED STATES,-84.1916069,39.7589478
55,3,Lambert_GA,Suwanee,UNITED STATES,-84.0712997,34.0514898
56,3,UT-Knoxville,Knoxville,UNITED STATES,-83.9207392,35.9606384
57,3,Michigan,Ann Arbor,UNITED STATES,-83.7430378,42.2808256
58,3,Michigan_Software,Ann Arbor,UNITED STATES,-83.7430378,42.2808256
59,3,RPI_Troy_NY,Troy,UNITED STATES,-83.1497751,42.6064095
60,3,Dartmouth,Hanover,UNITED STATES,-83.0103409,40.119413
61,3,UNC-Asheville,Asheville,UNITED STATES,-82.5514869,35.5950581
62,3,UFlorida,Gainesville,UNITED STATES,-82.3248262,29.6516344
63,3,Gaston_Day_School,Gastonia,UNITED STATES,-81.1873005,35.262082
64,3,U_of_Guelph,Guelph,CANADA,-80.2481666,43.5448048
65,3,Florida_Atlantic,Boca Raton,UNITED STATES,-80.1289321,26.3683064
66,3,Pittsburgh,Pittsburgh,UNITED STATES,-79.9958864,40.4406248
67,3,Toronto,Toronto,CANADA,-79.3831843,43.653226
68,3,East_Chapel_Hill,Chapel Hill,UNITED STATES,-79.0558445,35.9131996
69,3,Duke,Durham,UNITED STATES,-78.898619,35.9940329
70,3,Virginia,Charlottesville,UNITED STATES,-78.4766781,38.0293059
71,3,UNBC-Canada,Prince George,CANADA,-77.2856305,37.2220383
72,3,UMaryland,College Park,UNITED STATES,-76.93776,38.9896967
73,3,York,York,UNITED KINGDOM,-76.727745,39.9625984
74,3,William_and_Mary,Williamsburg,UNITED STATES,-76.7074571,37.2707022
75,3,Baltimore_Bio-Crew,Baltimore,UNITED STATES,-76.6121893,39.2903848
76,3,Cornell,Ithaca ,UNITED STATES,-76.5018807,42.4439614
77,3,uOttawa,Ottawa,CANADA,-75.6971931,45.4215296
78,3,Penn,Philadelphia,UNITED STATES,-75.1652215,39.9525839
79,3,Princeton,Princeton,UNITED STATES,-74.6514481,40.3439888
80,3,Delaware,Newark,UNITED STATES,-74.1744624,40.6895314
81,3,ColumbiaNYC,New York,UNITED STATES,-74.0059728,40.7127753
82,3,EpiphanyNYC,New York,UNITED STATES,-74.0059728,40.7127753
83,3,Queens_Canada,Kingston,CANADA,-73.9973608,41.9270367
84,3,USMA-West_Point,West Point,UNITED STATES,-73.9625033,41.3918372
85,3,Kingsborough_NY,Brooklyn,UNITED STATES,-73.9441579,40.6781784
86,3,ManhattanCol_Bronx,Bronx,UNITED STATES,-73.8648268,40.8447819
87,3,Stony_Brook,Stony Brook,UNITED STATES,-73.1233889,40.9123761
88,3,UConn,Storrs,UNITED STATES,-72.2495231,41.8084314
89,3,WPI_Worcester,Worcester,UNITED STATES,-71.8022934,42.2625932
90,3,Minnesota,St. Paul,UNITED STATES,-71.5734197,43.1948092
91,3,BostonU,Boston,UNITED STATES,-71.0588801,42.3600825
92,3,BostonU_HW,Boston,UNITED STATES,-71.0588801,42.3600825
93,3,MIT,Cambridge,UNITED STATES,-71.0588801,42.3600825
94,3,Harvard,Boston,UNITED STATES,-71.0588801,42.3600825
95,3,NortheasternU-Boston,Boston,UNITED STATES,-71.0588801,42.3600825
96,3,Exeter,Exeter,UNITED KINGDOM,-70.9477546,42.9814292
97,3,Dalhousie,Halifax,CANADA,-70.861985,41.991213
98,3,UGA-Georgia,Athens,UNITED STATES,-83.377043,33.946848
99,4,Moscow_RF,Moscow,RUSSIAN FEDERATION,37.6172999,55.755826
100,4,CMUQ,Doha,QATAR,51.5310398,25.2854473
101,4,NYU_Abu_Dhabi,Abu Dhabi,UNITED ARAB EMIRATES,54.3773438,24.453884
102,4,NU_Kazakhstan,Astana,KAZAKHSTAN,71.4703558,51.1605227
103,4,Peshawar,Peshawar,PAKISTAN,71.5804899,34.0149748
104,4,ICT-Mumbai,Mumbai,INDIA,72.8776559,19.0759837
105,4,IISER-Pune-India,Pune,INDIA,73.8567437,18.5204303
106,4,IISER-Mohali-INDIA,Sahibzada Ajit Singh Nagar,INDIA,76.7178726,30.7046486
107,4,IIT_Delhi,New Delhi,INDIA,77.2090212,28.6139391
108,4,IISc-Bangalore,Bangalore,INDIA,77.5945627,12.9715987
109,4,DEIAGRA,Agra,INDIA,78.0080745,27.1766701
110,4,SVCE_CHENNAI,Sriperumbudur,INDIA,79.9465841,12.9666662
111,4,IIT-Madras,Chennai,INDIA,80.2707184,13.0826802
112,4,REC-CHENNAI,Chennai,INDIA,80.2707184,13.0826802
113,4,NIPER-Guwahati,GUWAHATI,INDIA,91.7362365,26.1445169
114,4,NTU_SINGAPORE,SINGAPORE,SINGAPORE,103.819836,1.352083
115,4,NUS_Singapore,Singapore ,SINGAPORE,103.819836,1.352083
116,4,Lanzhou,Lanzhou city,CHINA,103.834303,36.061089
