id,Team.Name,City,Country,lon,lat
1,Aachen,Aachen,GERMANY,6.0838868,50.7753455
2,Aalto-Helsinki,Espoo,FINLAND,24.6559,60.2054911
3,AFCM-Egypt,"Cairo, Egypt",EGYPT,31.2357116,30.0444196
4,AHUT_China,Ma'anshan,UNITED STATES,118.507011,31.67044
5,Aix-Marseille,Marseille,FRANCE,5.36978,43.296482
6,Amazonas_Brazil,Manaus,BRAZIL,-60.0217314,-3.1190275
7,Amsterdam,Amsterdam,NETHERLANDS,4.8951679,52.3702157
8,AQA_Unesp,Araraquara,BRAZIL,-48.1786486,-21.7848272
9,Arizona_State,Tempe,UNITED STATES,-111.9400054,33.4255104
10,AshesiGhana,Accra,GHANA,-0.1869644,5.6037168
11,ASIJ_TOKYO,Tokyo,JAPAN,139.6917064,35.6894875
12,ASTWS-China,Hangzhou,CHINA,120.15507,30.274084
13,Austin_UTexas,Austin,UNITED STATES,-97.7430608,30.267153
14,Austin_UTexas_LASA,Austin,UNITED STATES,-97.7430608,30.267153
15,Baltimore_Bio-Crew,Baltimore,UNITED STATES,-76.6121893,39.2903848
16,Berlin_diagnostX,Berlin,GERMANY,13.404954,52.5200066
17,BGIC-Union,Shenzhen,CHINA,114.057865,22.543096
18,Bielefeld-CeBiTec,Bielefeld,GERMANY,8.5324708,52.0302285
19,Bilkent-UNAMBG,Ankara,TURKEY,32.8597419,39.9333635
20,BIT,Beijing,CHINA,116.4073963,39.9041999
21,BIT-China,Beijing,CHINA,116.4073963,39.9041999
22,BNDS_China,Beijing,CHINA,116.4073963,39.9041999
23,BNU-China,Beijing,CHINA,116.4073963,39.9041999
24,BOKU-Vienna,Vienna,AUSTRIA,16.3738189,48.2081743
25,Bordeaux,Pessac,FRANCE,-0.630386,44.80583
26,BostonU,Boston,UNITED STATES,-71.0588801,42.3600825
27,BostonU_HW,Boston,UNITED STATES,-71.0588801,42.3600825
28,Botchan_Lab_Tokyo,noda-shi,JAPAN,139.8747636,35.9551921
29,Bristol,Bristol,UNITED KINGDOM,-2.58791,51.454513
30,British_Columbia,Vancouver,CANADA,-123.1207375,49.2827291
31,Bulgaria,Sofia,BULGARIA,23.3218675,42.6977082
32,Cadets2Vets,Tacoma,UNITED STATES,-122.4442906,47.2528768
33,Calgary,Calgary,CANADA,-114.0708459,51.0486151
34,CAPS_Kansas,Overland Park,UNITED STATES,-94.6707917,38.9822282
35,Cardiff_Wales,Cardiff,UNITED KINGDOM,-3.17909,51.481581
36,CCA_San_Diego,San Diego,UNITED STATES,-117.1610838,32.715738
37,CCU_Taiwan,"Min-Hsiung, Chia-Yi",TAIWAN,120.4233654,23.5436443
38,CGU_Taiwan,"Kweishan, Taoyuan",TAIWAN,121.237221,25.069656
39,Chalmers-Gothenburg,Gothenburg,SWEDEN,11.97456,57.70887
40,CIEI-BJ,Beijing,CHINA,116.4073963,39.9041999
41,CIEI-China,Beijing,CHINA,116.4073963,39.9041999
42,CLSB-UK,London,UNITED KINGDOM,-0.1277583,51.5073509
43,CMUQ,Doha,QATAR,51.5310398,25.2854473
44,ColegioFDR_Peru,Lima,PERU,-77.042754,-12.0463731
45,Cologne-Duesseldorf,Duesseldorf,GERMANY,6.7734556,51.2277411
46,ColumbiaNYC,New York,UNITED STATES,-74.0059728,40.7127753
47,Cornell,Ithaca ,UNITED STATES,-76.5018807,42.4439614
48,CPU_CHINA,Nanjing,CHINA,118.796877,32.060255
49,CSMU_NCHU_Taiwan,Taichung City,TAIWAN,120.6736482,24.1477358
50,CSU_Fort_Collins,Fort Collins,UNITED STATES,-105.084423,40.5852602
51,CU-Boulder,Boulder,UNITED STATES,-105.2705456,40.0149856
52,Dalhousie,Halifax,CANADA,-70.861985,41.991213
53,Dartmouth,Hanover,UNITED STATES,-83.0103409,40.119413
54,DEIAGRA,Agra,INDIA,78.0080745,27.1766701
55,Delaware,Newark,UNITED STATES,-74.1744624,40.6895314
56,DTU-Denmark,Kgs. Lyngby,DENMARK,12.4949429,55.763516
57,Duke,Durham,UNITED STATES,-78.898619,35.9940329
58,East_Chapel_Hill,Chapel Hill,UNITED STATES,-79.0558445,35.9131996
59,ECUST,Shanghai,CHINA,121.4737021,31.2303904
60,Edinburgh_OG,Edinburgh,UNITED KINGDOM,-3.188267,55.953252
61,Edinburgh_UG,Edinburgh,UNITED KINGDOM,-3.188267,55.953252
62,Emory,Atlanta,UNITED STATES,-84.3879824,33.7489954
63,EPFL,Lausanne,SWITZERLAND,6.6322734,46.5196535
64,EpiphanyNYC,New York,UNITED STATES,-74.0059728,40.7127753
65,ETH_Zurich,Basel,SWITZERLAND,7.5885761,47.5595986
66,Evry_Paris-Saclay,Evry,FRANCE,2.441782,48.629828
67,Exeter,Exeter,UNITED KINGDOM,-70.9477546,42.9814292
68,FAFU-CHINA,Fuzhou,CHINA,119.296482,26.074478
69,Florida_Atlantic,Boca Raton,UNITED STATES,-80.1289321,26.3683064
70,Franconia,Erlangen,GERMANY,11.0119611,49.5896744
71,Freiburg,Freiburg,GERMANY,7.8421043,47.9990077
72,FSU,Tallahassee,UNITED STATES,-84.2807329,30.4382559
73,Fudan,Shanghai,CHINA,121.4737021,31.2303904
74,Fudan_China,Shanghai,CHINA,121.4737021,31.2303904
75,Gaston_Day_School,Gastonia,UNITED STATES,-81.1873005,35.262082
76,Georgia_State,Atlanta,UNITED STATES,-84.3879824,33.7489954
77,Gifu,Gifu,JAPAN,136.7606537,35.4232984
78,Glasgow,Glasgow,UNITED KINGDOM,-4.251806,55.864237
79,Greece,Thessaloniki,GREECE,22.9444191,40.6400629
80,Grenoble-Alpes,La Tronche,FRANCE,5.737805,45.205168
81,Groningen,Groningen,NETHERLANDS,6.5665017,53.2193835
82,GZHS-United,Guangzhou,CHINA,113.264385,23.12911
83,Hamburg,Hamburg,GERMANY,9.9936819,53.5510846
84,Harvard,Boston,UNITED STATES,-71.0588801,42.3600825
85,HBUT-China,Wuhan,CHINA,114.305539,30.592849
86,Heidelberg,Heidelberg,GERMANY,8.6724335,49.3987524
87,HFLS_H2Z_Hangzhou,HangZhou,CHINA,120.15507,30.274084
88,HFUT-China,Hefei,CHINA,117.227219,31.820591
89,HK_SKHLPSS,Hong Kong,HONG KONG,114.109497,22.396428
90,HokkaidoU_Japan,Sapporo,JAPAN,141.3543763,43.0620958
91,Hong_Kong_HKU,Pokfulam,HONG KONG,114.1290719,22.2679201
92,Hong_Kong_HKUST,Kowloon,HONG KONG,114.1796057,22.3185673
93,Hong_Kong_UCCKE,Hong Kong,HONG KONG,114.109497,22.396428
94,Hong_Kong-CUHK,Shatin,HONG KONG,114.1974398,22.3771304
95,HUST-China,Wuhan,CHINA,114.305539,30.592849
96,HZAU-China,Wuhan,CHINA,114.305539,30.592849
